Price,LT,LB,KT,KM,Kota/Kab,Provinsi,Type,harga_per_m2,ratio_bangunan_tanah
550000000,77.4,51.5,1.0,1.0,Medan Kota,Sumatra Utara,Rumah,7105943.1524547795,0.6653746770025839
730000000,62.5,71.0,3.0,2.0,Makassar Kota,Sulawesi Selatan,Rumah,11680000.0,1.136
690000000,56.25,66.0,3.0,2.0,Makassar Kota,Sulawesi Selatan,Rumah,12266666.666666666,1.1733333333333333
1890000000,49.5,128.7,3.0,3.0,Jakarta Barat,Jakarta D.K.I.,Rumah,38181818.18181818,2.5999999999999996
1000000000,40.5,101.25,3.0,2.0,Medan Kota,Sumatra Utara,Rumah,24691358.02469136,2.5
400000000,206.25,60.0,2.0,2.0,Banjar Kab.,Kalimantan Selatan,Rumah,1939393.9393939395,0.2909090909090909
1460000000,185.75,100.0,3.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,7860026.917900404,0.5383580080753702
820000000,157.25,90.0,2.0,2.0,Balikpapan Kota,Kalimantan Timur,Rumah,5214626.391096979,0.5723370429252782
385000000,142.5,60.0,2.0,1.0,Bandar Lampung Kota,Lampung,Rumah,2701754.3859649124,0.42105263157894735
1200000000,112.5,110.0,4.0,3.0,Makassar Kota,Sulawesi Selatan,Rumah,10666666.666666666,0.9777777777777777
8000000000,1817.0,450.0,3.0,3.0,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah,4402861.860209136,0.2476609796367639
6500000000,1800.0,340.0,5.0,5.0,Medan Kota,Sumatra Utara,Rumah,3611111.111111111,0.18888888888888888
10000000000,1654.0,500.0,6.0,5.0,Medan Kota,Sumatra Utara,Rumah,6045949.214026602,0.3022974607013301
5900000000,1612.0,500.0,6.0,5.0,Pontianak Kota,Kalimantan Barat,Rumah,3660049.627791563,0.31017369727047145
17000000000,1600.0,563.0,7.0,5.0,Palembang Kota,Sumatra Selatan,Rumah,10625000.0,0.351875
9500000000,1500.0,500.0,4.0,5.0,Gianyar Kab.,Bali,Rumah,6333333.333333333,0.3333333333333333
2000000000,1500.0,300.0,3.0,2.0,Lombok Tengah Kab.,Nusa Tenggara Barat,Rumah,1333333.3333333333,0.2
4250000000,1447.0,450.0,6.0,6.0,Manado Kota,Sulawesi Utara,Rumah,2937111.2646855563,0.31098825155494125
2200000000,1385.0,450.0,6.0,5.0,Tomohon Kota,Sulawesi Utara,Rumah,1588447.653429603,0.3249097472924188
27500000000,1301.0,815.0,5.0,5.0,Tangerang Selatan Kota,Banten,Rumah,21137586.471944656,0.6264411990776326
29500000000,1300.0,950.0,6.0,4.0,Jakarta Selatan,Jakarta D.K.I.,Rumah,22692307.692307692,0.7307692307692307
22000000000,1300.0,650.0,6.0,6.0,Kab. Badung,Bali,Rumah,16923076.923076924,0.5
2000000000,1300.0,500.0,5.0,4.0,Minahasa Utara Kab.,Sulawesi Utara,Rumah,1538461.5384615385,0.38461538461538464
2500000000,1270.0,900.0,5.0,4.0,Banjar Kab.,Kalimantan Selatan,Rumah,1968503.937007874,0.7086614173228346
4000000000,1260.0,358.0,4.0,4.0,Pekanbaru Kota,Riau,Rumah,3174603.1746031744,0.2841269841269841
25000000000,1238.0,500.0,8.0,4.0,Manado Kota,Sulawesi Utara,Rumah,20193861.066235863,0.40387722132471726
1400000000,1200.0,240.0,3.0,2.0,Padang Kota,Sumatra Barat,Rumah,1166666.6666666667,0.2
7500000000,1200.0,800.0,6.0,6.0,Pekanbaru Kota,Riau,Rumah,6250000.0,0.6666666666666666
15000000000,1200.0,500.0,5.0,5.0,Kab. Badung,Bali,Rumah,12500000.0,0.4166666666666667
4000000000,1200.0,308.0,6.0,5.0,Banjar Kab.,Kalimantan Selatan,Rumah,3333333.3333333335,0.25666666666666665
24000000000,1190.0,1190.0,4.0,4.0,Kab. Badung,Bali,Rumah,20168067.226890758,1.0
12000000000,1100.0,200.0,4.0,4.0,Cilacap Kab.,Jawa Tengah,Rumah,10909090.909090908,0.18181818181818182
13000000000,1100.0,600.0,6.0,6.0,Batam Kota,Kepulauan Riau,Rumah,11818181.818181818,0.5454545454545454
1900000000,1066.0,500.0,5.0,5.0,Pekanbaru Kota,Riau,Rumah,1782363.9774859287,0.46904315196998125
8500000000,1040.0,476.0,6.0,6.0,Pontianak Kota,Kalimantan Barat,Rumah,8173076.923076923,0.4576923076923077
15000000000,1018.0,470.0,6.0,5.0,Sleman Kab.,Yogyakarta D.I.,Rumah,14734774.066797642,0.46168958742632615
4300000000,1000.0,200.0,5.0,5.0,Buleleng Kab.,Bali,Rumah,4300000.0,0.2
33838829000,1000.0,600.0,3.0,3.0,Kab. Badung,Bali,Rumah,33838829.0,0.6
17000000000,1000.0,850.0,5.0,5.0,Kab. Badung,Bali,Rumah,17000000.0,0.85
6000000000,1000.0,500.0,5.0,6.0,Pekanbaru Kota,Riau,Rumah,6000000.0,0.5
2000000000,1000.0,400.0,5.0,3.0,Pekanbaru Kota,Riau,Apartemen,2000000.0,0.4
5500000000,1000.0,400.0,4.0,4.0,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah,5500000.0,0.4
3500000000,1000.0,330.0,3.0,4.0,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah,3500000.0,0.33
9000000000,990.0,400.0,4.0,2.0,Ponorogo Kab.,Jawa Timur,Apartemen,9090909.090909092,0.40404040404040403
17000000000,984.0,475.5,4.0,5.0,Tabanan Kab.,Bali,Rumah,17276422.764227644,0.48323170731707316
5000000000,939.0,400.0,6.0,3.0,Bandar Lampung Kota,Lampung,Rumah,5324813.631522897,0.42598509052183176
17000000000,909.0,250.0,10.0,5.0,Palembang Kota,Sumatra Selatan,Rumah,18701870.187018704,0.27502750275027504
4000000000,900.0,500.0,8.0,5.0,Manado Kota,Sulawesi Utara,Rumah,4444444.444444444,0.5555555555555556
3400000000,900.0,900.0,3.0,2.0,Banjarbaru Kota,Kalimantan Selatan,Rumah,3777777.777777778,1.0
3750000000,894.0,250.0,5.0,4.0,Bukittinggi Kota,Sumatra Barat,Rumah,4194630.872483222,0.2796420581655481
1375000000,890.0,280.0,4.0,3.0,Pekanbaru Kota,Riau,Rumah,1544943.8202247191,0.3146067415730337
8250000000,874.0,266.0,5.0,4.0,Tangerang Selatan Kota,Banten,Rumah,9439359.267734554,0.30434782608695654
11000000000,868.0,728.0,3.0,3.0,Banjarmasin Kota,Kalimantan Selatan,Rumah,12672811.059907835,0.8387096774193549
8800000000,857.0,500.0,4.0,3.0,Batam Kota,Kepulauan Riau,Rumah,10268378.063010503,0.5834305717619603
1500000000,852.0,156.0,3.0,3.0,Pekanbaru Kota,Riau,Rumah,1760563.38028169,0.18309859154929578
900000000,850.0,250.0,4.0,2.0,Pekanbaru Kota,Riau,Rumah,1058823.5294117648,0.29411764705882354
4300000000,850.0,300.0,5.0,4.0,Pekanbaru Kota,Riau,Rumah,5058823.529411765,0.35294117647058826
2500000000,850.0,400.0,3.0,3.0,Banjarbaru Kota,Kalimantan Selatan,Rumah,2941176.470588235,0.47058823529411764
6950000000,843.0,510.0,6.0,4.0,Sleman Kab.,Yogyakarta D.I.,Rumah,8244365.361803085,0.604982206405694
4500000000,816.0,294.0,4.0,4.0,Padang Kota,Sumatra Barat,Rumah,5514705.882352941,0.3602941176470588
3200000000,800.0,280.0,5.0,4.0,Manado Kota,Sulawesi Utara,Rumah,4000000.0,0.35
4000000000,800.0,300.0,2.0,3.0,Gianyar Kab.,Bali,Rumah,5000000.0,0.375
29900000000,800.0,1100.0,4.0,4.0,Jakarta Barat,Jakarta D.K.I.,Rumah,37375000.0,1.375
2950000000,800.0,255.0,4.0,4.0,Lombok Utara Kab.,Nusa Tenggara Barat,Rumah,3687500.0,0.31875
13000000000,798.0,400.0,4.0,4.0,Samarinda Kota,Kalimantan Timur,Rumah,16290726.817042606,0.5012531328320802
2500000000,782.0,252.0,7.0,6.0,Medan Kota,Sumatra Utara,Rumah,3196930.9462915603,0.32225063938618925
2800000000,780.0,270.0,5.0,3.0,Bandar Lampung Kota,Lampung,Rumah,3589743.5897435895,0.34615384615384615
785000000,778.0,463.0,3.0,2.0,Sleman Kab.,Yogyakarta D.I.,Rumah,1008997.4293059126,0.5951156812339332
4000000000,774.0,283.0,3.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,5167958.656330749,0.36563307493540054
1300000000,752.0,220.0,6.0,3.0,Pekanbaru Kota,Riau,Rumah,1728723.4042553192,0.2925531914893617
800000000,750.0,180.0,4.0,2.0,Minahasa Utara Kab.,Sulawesi Utara,Rumah,1066666.6666666667,0.24
550000000,750.0,250.0,3.0,4.0,Manado Kota,Sulawesi Utara,Rumah,733333.3333333334,0.3333333333333333
19000000000,750.0,400.0,3.0,3.0,Banjarmasin Kota,Kalimantan Selatan,Rumah,25333333.333333332,0.5333333333333333
1369000000,745.0,188.0,4.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,1837583.8926174496,0.2523489932885906
9500000000,725.0,725.0,4.0,4.0,Depok Kota,Jawa Barat,Rumah,13103448.27586207,1.0
1200000000,720.0,150.0,3.0,2.0,Cilacap Kab.,Jawa Tengah,Rumah,1666666.6666666667,0.20833333333333334
1200000000,715.0,127.0,3.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,1678321.6783216784,0.17762237762237762
4345499045,713.0,255.0,3.0,2.0,Batu Kota,Jawa Timur,Rumah,6094669.0673211785,0.3576437587657784
8000000000,712.0,250.0,5.0,4.0,Depok Kota,Jawa Barat,Rumah,11235955.056179775,0.351123595505618
14000000000,707.0,375.0,6.0,4.0,Musi Banyuasin Kab.,Sumatra Selatan,Rumah,19801980.198019803,0.5304101838755304
1000000000,700.0,180.0,4.0,2.0,Pariaman Kota,Sumatra Barat,Rumah,1428571.4285714286,0.2571428571428571
4000000000,700.0,400.0,4.0,4.0,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah,5714285.714285715,0.5714285714285714
9000000000,687.0,530.0,6.0,4.0,Semarang Kota,Jawa Tengah,Rumah,13100436.681222707,0.7714701601164483
3500000000,680.0,470.0,6.0,6.0,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah,5147058.823529412,0.6911764705882353
15000000000,680.0,300.0,4.0,3.0,Banjarmasin Kota,Kalimantan Selatan,Rumah,22058823.529411763,0.4411764705882353
19000000000,679.0,300.0,10.0,5.0,Malang Kota,Jawa Timur,Rumah,27982326.951399118,0.4418262150220913
5000000000,670.0,450.0,5.0,5.0,Manado Kota,Sulawesi Utara,Rumah,7462686.567164179,0.6716417910447762
2800000000,670.0,350.0,4.0,3.0,Mataram Kota,Nusa Tenggara Barat,Rumah,4179104.4776119404,0.5223880597014925
9900000000,660.0,660.0,7.0,7.0,Bandung Kota,Jawa Barat,Rumah,15000000.0,1.0
23000000000,655.0,380.0,4.0,4.0,Kab. Badung,Bali,Rumah,35114503.816793896,0.5801526717557252
2300000000,650.0,250.0,5.0,3.0,Palembang Kota,Sumatra Selatan,Rumah,3538461.5384615385,0.38461538461538464
9500000000,650.0,560.0,3.0,4.0,Kab. Badung,Bali,Rumah,14615384.615384616,0.8615384615384616
8000000000,648.0,550.0,5.0,4.0,Surakarta Kota,Jawa Tengah,Rumah,12345679.01234568,0.8487654320987654
10500000000,647.0,500.0,7.0,4.0,Bandung Kab.,Jawa Barat,Rumah,16228748.068006182,0.7727975270479135
2000000000,647.0,300.0,3.0,2.0,Banjarmasin Kota,Kalimantan Selatan,Rumah,3091190.1081916536,0.46367851622874806
2900000000,639.0,234.0,3.0,2.0,Manado Kota,Sulawesi Utara,Rumah,4538341.158059468,0.36619718309859156
2300000000,635.0,635.0,5.0,6.0,Aceh Besar Kab.,Aceh D.I.,Rumah,3622047.244094488,1.0
9000000000,635.0,200.0,5.0,5.0,Palembang Kota,Sumatra Selatan,Rumah,14173228.346456693,0.31496062992125984
2600000000,635.0,120.0,5.0,3.0,Bandar Lampung Kota,Lampung,Rumah,4094488.188976378,0.1889763779527559
5500000000,630.0,250.0,4.0,3.0,Makassar Kota,Sulawesi Selatan,Rumah,8730158.73015873,0.3968253968253968
25000000000,627.0,312.0,3.0,3.0,Kab. Badung,Bali,Rumah,39872408.29346093,0.49760765550239233
3000000000,625.0,250.0,4.0,2.0,Karanganyar Kab.,Jawa Tengah,Rumah,4800000.0,0.4
24000000000,625.0,608.0,4.0,4.0,Kab. Badung,Bali,Rumah,38400000.0,0.9728
2500000000,623.0,623.0,6.0,5.0,Mataram Kota,Nusa Tenggara Barat,Rumah,4012841.0914927768,1.0
3000000000,622.0,380.0,6.0,6.0,Pekanbaru Kota,Riau,Rumah,4823151.125401929,0.6109324758842444
