LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
77.4,1,1,51.5,550.000.000,Medan Kota,Sumatra Utara,Rumah
62.5,2,3,71,730.000.000,Makassar Kota,Sulawesi Selatan,Rumah
56.25,2,3,66,690.000.000,Makassar Kota,Sulawesi Selatan,Rumah
49.5,3,3,128.7,1.890.000.000,Jakarta Barat,Jakarta D.K.I.,Rumah
40.5,2,3,101.25,1.000.000.000,Medan Kota,Sumatra Utara,Rumah
40.5,2,3,101.25,1.000.000.000,Medan Kota,Sumatra Utara,Rumah
206.25,2,2,60,400.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
185.75,2,3,100,1.460.000.000,Pontianak Kota,Kalimantan Barat,Rumah
157.25,2,2,90,820.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
142.5,1,2,60,385.000.000,Bandar Lampung Kota,Lampung,Rumah
112.5,3,4,110,1.200.000.000,Makassar Kota,Sulawesi Selatan,Rumah
11340,4,5,464,37.500.000.000,Padang Kota,Sumatra Barat,Rumah
8515,6,6,914,42.000.000.000,Tabanan Kab.,Bali,Rumah
8000,3,5,400,3.500.000.000,Bandar Lampung Kota,Lampung,Rumah
7135,3,5,400,6.800.000.000,Bogor Kab.,Jawa Barat,Rumah
6170,>10,>10,1500,50.000.000.000,Lima Puluh Kota Kab.,Sumatra Barat,Rumah
5500,9,10,4000,80.000.000.000,Gianyar Kab.,Bali,Rumah
5300,1,3,156,2.500.000.000,Tanah Laut Kab.,Kalimantan Selatan,Rumah
3428,3,3,3428,5.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
3400,4,5,500,12.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
3400,6,6,850,12.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
3400,5,5,850,7.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
3325,3,3,300,8.300.000.000,Solok Kab.,Sumatra Barat,Rumah
3193,5,5,3000,1.600.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
3100,4,4,2000,4.500.000.000,Lombok Tengah Kab.,Nusa Tenggara Barat,Rumah
3050,4,3,500,24.314.000.000,Tabanan Kab.,Bali,Rumah
3000,2,3,200,3.200.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
2610,5,5,1309,150.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
2600,6,6,900,17.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
2540,6,4,350,37.500.000.000,Yogyakarta Kota,Yogyakarta D.I.,Rumah
2352,8,8,618,17.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
2340,2,3,700,17.000.000.000,Gianyar Kab.,Bali,Rumah
2296,5,5,370,3.600.000.000,Kutai Kartanegara Kab.,Kalimantan Timur,Rumah
2015,5,5,2015,4.300.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
2015,5,5,2015,4.300.000.000,Aceh Besar Kab.,Aceh D.I.,Apartemen
1950,5,5,800,5.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
1931,2,3,150,4.000.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
1862,2,4,240,895.000.000,Kampar Kab.,Riau,Rumah
1845,6,6,1281,100.678.000.000,Kab. Badung,Bali,Rumah
1817,3,3,450,8.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
1800,5,5,340,6.500.000.000,Medan Kota,Sumatra Utara,Rumah
1800,6,5,950,33.000.000.000,Denpasar Kota,Bali,Rumah
1800,5,5,2500,30.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
1800,6,4,2500,25.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
1800,6,4,2500,29.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
1789,3,5,900,3.500.000.000,Manado Kota,Sulawesi Utara,Rumah
